branch,source_id,name,official_url,data_types,access_method,api_key,access_limits,rate_limit,metadata_license,metadata_redistribution,metadata_modification,metadata_attribution,metadata_commercial_use,data_license,data_redistribution,data_modification,data_attribution,data_commercial_use,media_license,media_redistribution,media_modification,media_attribution,media_commercial_use,public_static_redistribution,permission_status,license_rules_ref,static_pages_fit,tier,risks,verified_at,reverify_by,terms_url,terms_version,terms_snapshot_status
art,wikidata,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access,"entities; labels; statements; references; external IDs","REST/Action API; SPARQL; RDF/JSON; dumps",no,"identify client; max 3 concurrent; honor 429","10/min unidentified; 200/min identified; 2000/min mature authenticated; WDQS not stated",CC0,yes,yes,conditional,yes,CC0,yes,yes,conditional,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,allowed,not_required,source-license-rules.json#wikidata,high,3,"community editable; Tier 1/2 confirmation required for death and direct influence",2026-07-11,2027-07-11,https://www.wikidata.org/wiki/Wikidata:Licensing,live-2026-07-11,live_verified_no_local_copy
art,wikimedia_commons,Wikimedia Commons,https://commons.wikimedia.org/wiki/Commons:Reusing_content_outside_Wikimedia,"images; audio; video; file metadata","MediaWiki API; file pages; dumps; downloads",no,"identify client; max 3 concurrent; media CDN limit not stated","Wikimedia Action/REST limits; CDN not stated",CC0_structured_file_data,yes,yes,conditional,yes,"CC BY-SA page text; mixed",conditional,conditional,yes,conditional,file_specific,conditional,conditional,yes,conditional,conditional,not_required,source-license-rules.json#wikimedia_commons,conditional,3,"uploader claims can be wrong; file-level review; personality/trademark/cultural risks",2026-07-11,2027-07-11,https://commons.wikimedia.org/wiki/Commons:Reusing_content_outside_Wikimedia/licenses,live-2026-07-11,live_verified_no_local_copy
art,getty_ulan,Getty Vocabularies / ULAN,https://www.getty.edu/research/tools/vocabularies/ulan/,"identity control; names; roles; life dates; relationships; sources","SPARQL; OpenRefine; N-Triples; per-record RDF/JSON-LD",no,"numeric limit not stated; legacy XML retired",not_stated,ODC-BY-1.0,yes,yes,yes,yes,ODC-BY-1.0,yes,yes,yes,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,allowed,not_required,source-license-rules.json#getty_ulan,high,1,"coverage incomplete; identity data does not prove artwork attribution or influence",2026-07-11,2027-07-11,https://www.getty.edu/research/tools/vocabularies/obtain/,live-2026-07-11,live_verified_no_local_copy
art,met_open_access,The Metropolitan Museum of Art Open Access,https://metmuseum.github.io/,"collection objects; artists; dates; materials; OA flag; images","REST API; official CSV",no,"bulk CSV preferred","80 requests/second maximum",CC0,yes,yes,conditional,yes,CC0,yes,yes,conditional,yes,object_level_OA_CC0_only,conditional,conditional,conditional,conditional,conditional,not_required,source-license-rules.json#met_open_access,high,1,"primaryImage is not rights proof; non-OA images restricted",2026-07-11,2027-07-11,https://www.metmuseum.org/hubs/open-access,live-2026-07-11,live_verified_no_local_copy
art,europeana,Europeana,https://pro.europeana.eu/page/apis,"aggregated EDM metadata; object links; thumbnails; IIIF; entities","Search/Record/Entity/IIIF/SPARQL/OAI-PMH/Dataset APIs",yes,"free key except SPARQL; bulk rate requires confirmation","numeric limit not stated; official pages conflict",CC0,yes,yes,conditional,yes,CC0_aggregated_metadata,yes,yes,conditional,yes,object_level_edm_rights,conditional,conditional,conditional,conditional,conditional,not_required,source-license-rules.json#europeana,conditional,3,"cross-provider quality and rights; deletion requests; key/rate documentation conflict",2026-07-11,2027-07-11,https://www.europeana.eu/eu/rights/terms-of-use,live-2026-07-11,live_verified_no_local_copy
art,smithsonian_open_access,Smithsonian Open Access,https://www.si.edu/openaccess/devtools,"collection metadata; 2D/3D; audio/video; research data","api.data.gov; AWS S3 bulk",yes,"official GitHub bulk archived 2026-05-21; inspect headers","platform default 1000/hour/key; DEMO_KEY 30/hour/IP and 50/day/IP",CC0_OA_and_basic_metadata,yes,yes,conditional,yes,CC0_when_marked,conditional,conditional,conditional,conditional,explicit_CC0_assets_only,conditional,conditional,conditional,conditional,conditional,not_required,source-license-rules.json#smithsonian_open_access,high,1,"non-CC0 and culturally sensitive assets; privacy/trademark; stale bulk docs",2026-07-11,2027-07-11,https://www.si.edu/openaccess/faq,live-2026-07-11,live_verified_no_local_copy
art,rijksmuseum,Rijksmuseum Data Services,https://data.rijksmuseum.nl/,"objects; images; people; places; exhibitions; library","Search/PID/OAI/LDES/SRU/IIIF/dumps",no,"search page 100; OAI-PMH may change",not_stated,record_specific_PDM_CC0_CC_BY,conditional,conditional,conditional,conditional,record_specific_PDM_CC0_CC_BY,conditional,conditional,conditional,conditional,object_specific,conditional,conditional,conditional,conditional,conditional,not_required,source-license-rules.json#rijksmuseum,high,1,"PID redirect changed 2026-06-29; evolving structure and rights",2026-07-11,2027-07-11,https://data.rijksmuseum.nl/policy/information-and-data-policy,live-2026-07-11,live_verified_no_local_copy
art,nga_open_data,"National Gallery of Art, Washington",https://github.com/NationalGalleryOfArt/opendata,"artworks; artists; media references; dictionary","official UTF-8 CSV",no,"GitHub platform limits",not_stated,CC0,yes,yes,conditional,yes,CC0,yes,yes,conditional,yes,object_page_OA_CC0_only,conditional,conditional,conditional,conditional,conditional,not_required,source-license-rules.json#nga_open_data,high,1,"CSV image URL is not OA proof; other website content has narrower terms",2026-07-11,2027-07-11,https://www.nga.gov/terms-and-notices,live-2026-07-11,live_verified_no_local_copy
art,aic_api,Art Institute of Chicago,https://api.artic.edu/docs/,"artworks; artists; exhibitions; articles; IIIF","REST API; dumps; IIIF",no,"single-thread <=1 request/second; prefer dumps","anonymous 60 requests/minute",CC0_artwork_metadata,yes,yes,conditional,yes,"field_specific: description CC BY 4.0; other artwork data CC0",yes,yes,yes,yes,CC0_public_domain_assets_only,conditional,conditional,conditional,conditional,conditional,not_required,source-license-rules.json#aic_api,high,1,"field/endpoint-level licensing; IIIF can expose non-public-domain images",2026-07-11,2027-07-11,https://www.artic.edu/terms,live-2026-07-11,live_verified_no_local_copy
art,cleveland_open_access,Cleveland Museum of Art Open Access,https://www.clevelandart.org/open-access-api,"collection metadata; creators; exhibitions; media","REST API; CSV/JSON dumps",no,"future throttling/key possible; update frequency differs",not_stated,CC0,yes,yes,conditional,yes,CC0,yes,yes,conditional,yes,share_license_status_CC0_only,conditional,conditional,conditional,conditional,conditional,not_required,source-license-rules.json#cleveland_open_access,high,1,"third-party rights remain; update cadence wording differs",2026-07-11,2027-07-11,https://www.clevelandart.org/terms-and-conditions,live-2026-07-11,live_verified_no_local_copy
